127.0.0.1 - - [07/Jul/2022:11:21:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:17 +0900] "GET /Petist/ HTTP/1.1" 200 7844
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:17 +0900] "GET /Petist/resources/common/main-001.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:17 +0900] "GET /Petist/resources/common/main-hospital-002.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:17 +0900] "GET /Petist/resources/common/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:17 +0900] "GET /Petist/resources/common/main-hospital-001.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:17 +0900] "GET /Petist/resources/common/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:20 +0900] "GET /Petist/loginEnroll.us HTTP/1.1" 200 9810
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:23 +0900] "POST /Petist/login.us HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:23 +0900] "POST /Petist/login.us HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:23 +0900] "GET /Petist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:23 +0900] "GET /Petist/ HTTP/1.1" 200 7970
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:23 +0900] "GET /Petist/resources/common/logo_mint.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:25 +0900] "GET /Petist/start.pe HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:25 +0900] "GET /Petist/resources/pet/background/50fc81ae2c5d837a2040ccfb1a558b9e182343.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:26 +0900] "GET /Petist/list.pe HTTP/1.1" 200 9077
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:26 +0900] "GET /Petist/resources/pet/Petist_20220706164228_35260.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:26 +0900] "GET /Petist/resources/pet/Petist_20220706180417_19089.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:26 +0900] "GET /Petist/resources/pet/Petist_20220706164129_90612.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:27 +0900] "GET /Petist/calender.pe?pno=13 HTTP/1.1" 200 7063
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:27 +0900] "GET /Petist/resources/pet/fullcalendar/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:27 +0900] "GET /Petist/resources/pet/fullcalendar/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2022:11:21:30 +0900] "GET /Petist/detail.pe?selectDate=2022-07-06&pno=13 HTTP/1.1" 200 6778
